Reference Geometry	Ply Group	Sequence	Ply/Insert	Material	C373	C374	C375	C369	C370	C371	C361	C362	C363	C353	C354	C355	C345	C346	C347	C337	C338	C339	C329	C330	C331	C321	C322	C323	C313	C314	C315	
OML	Plies Group.1	S.31	Ply.31	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					0		0	0	0	0	0	
OML	Plies Group.1	S.32	Ply.32	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.33	Ply.33	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.34	Ply.34	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.35	Ply.35	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.36	Ply.36	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
OML	Plies Group.1	S.37	Ply.37	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.38	Ply.38	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.39	Ply.39	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											45	
OML	Plies Group.1	S.40	Ply.40	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.41	Ply.41	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.42	Ply.42	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											-45	
OML	Plies Group.1	S.43	Ply.43	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D							0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.44	Ply.44	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D			0																									
OML	Plies Group.1	S.45	Ply.45	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																								0		0	0	
OML	Plies Group.1	S.46	Ply.46	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.47	Ply.47	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.48	Ply.48	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.49	Ply.49	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.50	Ply.50	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.51	Ply.51	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.52	Ply.52	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																		0			0	0	0	0	0	0	0	
OML	Plies Group.1	S.53	Ply.53	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.54	Ply.54	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.55	Ply.55	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.56	Ply.56	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.57	Ply.57	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.58	Ply.58	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.59	Ply.59	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											0	
OML	Plies Group.1	S.60	Ply.60	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.61	Ply.61	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																		45			45	45	45	45	45	45	45	
OML	Plies Group.1	S.62	Ply.62	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																								0	0	0	0	
OML	Plies Group.1	S.63	Ply.63	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.64	Ply.64	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.65	Ply.65	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.66	Ply.66	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.67	Ply.67	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																								0	0	0	0	
OML	Plies Group.1	S.68	Ply.68	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.69	Ply.69	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.70	Ply.70	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.71	Ply.71	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.72	Ply.72	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	
OML	Plies Group.1	S.73	Ply.73	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.74	Ply.74	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.75	Ply.75	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D															0			0		0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.76	Ply.76	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.77	Ply.77	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D									0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.78	Ply.78	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.79	Ply.79	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D									90			90			90		90	90	90	90	90	90	90	90	90	90	90	
