Reference Geometry	Ply Group	Sequence	Ply/Insert	Material	C373	C374	C375	C369	C370	C371	C361	C362	C363	C353	C354	C355	C345	C346	C347	C337	C338	C339	C329	C330	C331	C321	C322	C323	C313	C314	C315	
OML	Plies Group.1	S.149	Ply.149	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D									45		45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
OML	Plies Group.1	S.150	Ply.150	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																		-45			-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.151	Ply.151	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D															-45		-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.152	Ply.152	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.153	Ply.153	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.154	Ply.154	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.155	Ply.155	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.156	Ply.156	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																					90		90	90	90	90	90	
OML	Plies Group.1	S.157	Ply.157	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
OML	Plies Group.1	S.158	Ply.158	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																											0	
OML	Plies Group.1	S.159	Ply.159	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	-45	
OML	Plies Group.1	S.160	Ply.160	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.161	Ply.161	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.162	Ply.162	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OML	Plies Group.1	S.163	Ply.163	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.164	Ply.164	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D																												
OML	Plies Group.1	S.165	Ply.165	E1676818   FABRIC,PREPREG,CARBON/EPOXY RESIN-CLASS 1,T830H-6K-PW/3900-2D	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
																																
			DIR	0	4	6	8	6	6	8	10	10	10	12	12	16	16	16	20	16	16	22	18	20	24	22	24	30	28	30	34	
			DIR	45	6	6	6	6	6	6	6	6	8	6	8	8	8	8	10	8	10	12	10	10	16	12	14	16	14	16	18	
			DIR	-45	6	6	6	6	6	6	6	6	8	6	8	8	8	8	10	8	10	12	10	10	16	12	14	16	14	16	18	
			DIR	90	2	2	2	2	3	2	3	3	4	3	3	5	3	3	4	3	5	5	4	5	6	5	7	6	6	7	7	
				Total Crossed Entities	18	20	22	20	21	22	25	25	30	27	31	37	35	35	44	35	41	51	42	45	62	51	59	68	62	69	77	
				Thickness	3,924mm	4,36mm	4,796mm	4,36mm	4,578mm	4,796mm	5,45mm	5,45mm	6,54mm	5,886mm	6,758mm	8,066mm	7,63mm	7,63mm	9,592mm	7,63mm	8,938mm	11,118mm	9,156mm	9,81mm	13,516mm	11,118mm	12,862mm	14,824mm	13,516mm	15,042mm	16,786mm	
																																
Core Sample Points	X	Y	Z																													
C373	21401,393556mm	-16449,395408mm	426,845753mm																													
C374	21284,249858mm	-16486,215058mm	440,332549mm																													
C375	21142,22084mm	-16511,543162mm	446,630022mm																													
C369	21245,130804mm	-16039,75593mm	395,560494mm																													
C370	21087,474977mm	-16069,820065mm	414,770316mm																													
C371	20941,176109mm	-16112,108217mm	424,9609mm																													
C361	20963,287321mm	-15482,855534mm	364,583485mm																													
C362	20821,785536mm	-15517,058182mm	382,77845mm																													
C363	20687,623555mm	-15583,914926mm	396,24011mm																													
C353	20671,150029mm	-14802,280428mm	327,702723mm																													
C354	20503,699759mm	-14871,370055mm	350,239477mm																													
C355	20345,482803mm	-14946,476806mm	363,154632mm																													
C345	20392,2526mm	-14298,464339mm	306,995987mm																													
C346	20252,740648mm	-14351,491088mm	323,333381mm																													
C347	20064,590167mm	-14415,241393mm	335,003896mm																													
C337	20256,054633mm	-13886,0979mm	280,28818mm																													
C338	20077,1456mm	-13956,414002mm	301,818513mm																													
C339	19899,88345mm	-14028,029597mm	313,883117mm																													
C329	20042,506335mm	-13502,415497mm	264,121732mm																													
C330	19887,060177mm	-13567,62182mm	281,653685mm																													
C331	19734,668955mm	-13616,645369mm	291,15801mm																													
C321	19789,181347mm	-12859,458213mm	226,70509mm																													
C322	19585,160237mm	-12932,390505mm	247,999408mm																													
C323	19399,700516mm	-13010,925696mm	259,114167mm																													
C313	19488,949706mm	-12194,62231mm	191,467529mm																													
C314	19265,185282mm	-12277,850447mm	213,533489mm																													
C315	19032,16592mm	-12381,528464mm	225,201918mm																													


